unigram,gatsby_prob,alice_prob,austen_prob,gatsby_count,alice_count,austen_count
the,0.047731597,0.05977625,0.035017978,2383,1635,4334
and,0.030645969,0.031076338,0.028974266,1530,850,3586
a,0.027981973,0.02295993,0.015771826,1397,628,1952
i,0.027581372,0.019486692,0.016741405,1377,533,2072
to,0.022593891,0.026506288,0.033660566,1128,725,4166
of,0.02231347,0.018682363,0.029273219,1114,511,3623
he,0.016725088,0.00457005,0.010794651,835,125,1336
was,0.016084126,0.013454226,0.014931523,803,368,1848
in,0.016064096,0.013417666,0.015149679,802,367,1875
that,0.012518778,0.011333723,0.012838848,625,310,1589
it,0.011657486,0.021497514,0.012394457,582,588,1534
you,0.010335503,0.014806961,0.010996647,516,405,1361
his,0.009814722,0.003509798,0.010269462,490,96,1271
with,0.008372559,0.006617432,0.00848382,418,181,1050
she,0.008112168,0.020071658,0.013808427,405,549,1709
at,0.008112168,0.007641123,0.006334586,405,209,784
had,0.008052078,0.006800234,0.009477639,402,186,1173
her,0.007851778,0.009066979,0.017969539,392,248,2224
on,0.007190786,0.007056157,0.005809397,359,193,719
me,0.006529795,0.002486107,0.003635923,326,68,450
for,0.006169254,0.005593741,0.008580778,308,153,1062
him,0.005468202,0.001498976,0.006172989,273,41,764
as,0.005348022,0.009578824,0.009574597,267,262,1185
gatsby,0.005127692,0,0,256,0,0
my,0.004847271,0.002120503,0.005833636,242,58,722
but,0.004787181,0.005995905,0.008104068,239,164,1003
we,0.004667001,0.001206493,0.002052276,233,33,254
said,0.004667001,0.016890904,0.003054175,233,462,378
from,0.00464697,0.001316174,0.003999515,232,36,495
all,0.00434652,0.006544311,0.005057973,217,179,626
out,0.00424637,0.004277567,0.001026138,212,117,127
there,0.00424637,0.003619479,0.00285218,212,99,353
up,0.003825739,0.00365604,0.000864542,191,100,107
tom,0.003785679,0,0,189,0,0
an,0.003725588,0.002083943,0.002924898,186,57,362
daisy,0.003645468,3.66E-05,0,182,1,0
do,0.003625438,0.005118456,0.00282794,181,140,350
were,0.003605408,0.003144194,0.004565103,180,86,565
into,0.003365048,0.002449547,0.001139256,168,67,141
this,0.003324987,0.004899093,0.003611683,166,134,447
they,0.003304957,0.005447499,0.004855977,165,149,601
