unigram,gatsby,alice,austen
the,2383,1635,4334
and,1530,850,3586
a,1397,628,1952
i,1377,533,2072
to,1128,725,4166
of,1114,511,3623
he,835,125,1336
was,803,368,1848
in,802,367,1875
that,625,310,1589
it,582,588,1534
you,516,405,1361
his,490,96,1271
's,469,198,646
with,418,181,1050
she,405,549,1709
n't,405,216,12
at,405,209,784
had,402,186,1173
her,392,248,2224
on,359,193,719
me,326,68,450
for,308,153,1062
him,273,41,764
as,267,262,1185
gatsby,256.0,0.0,0.0
-,247,142,315
my,242,58,722
but,239,164,1003
we,233,33,254
said,233,462,378
from,232,36,495
all,217,179,626
out,212,117,127
there,212,99,353
up,191,100,107
tom,189.0,0.0,0.0
an,186,57,362
daisy,182.0,1.0,0.0
do,181,140,350
were,180,86,565
into,168,67,141
this,166,134,447
they,165,149,601
have,150,88,846
about,149,94,123
one,148,102,271
what,144,141,483
if,143,94,349
over,143,40,91
when,143,79,371
then,137,90,174
so,136,151,595
did,134,76,273
be,123,146,1238
by,122,57,634
like,121,85,77
is,118,109,857
down,118,101,77
who,114,62,284
man,112,5,150
back,109,39,41
came,108,40,90
been,107,38,515
some,103,51,209
little,103,128,189
no,101,87,491
just,100,51,72
or,97,76,298
now,97,57,211
know,97,85,239
'd,97.0,28.0,0.0
house,93,18,107
went,91,83,67
could,89,86,524
after,88,43,200
eyes,87,27,52
before,87,37,227
got,85,45,25
come,84,45,94
mr,84.0,0.0,781.0
old,83,19,13
looked,82,45,75
them,81,84,435
see,81,66,147
time,81,71,197
wilson,76.0,0.0,0.0
more,74,48,321
way,74,55,107
away,74,25,118
get,74,46,52
would,74,96,469
two,73,40,135
car,73.0,0.0,0.0
'm,72,57,1
'll,72,54,1
night,72,5,35
jordan,72.0,0.0,0.0
not,71,145,1539
here,70,48,70
new,70,5,25
go,70,50,104
going,70,27,57
around,70,3,2
room,70,13,150
moment,70,31,70
your,69,62,454
well,68,62,226
door,68,29,35
any,67,39,269
something,66,18,73
through,66,14,42
've,65.0,43.0,0.0
which,65,49,543
other,65,39,211
never,64,46,221
turned,64,16,43
think,64,53,211
made,63,30,127
hand,63,21,26
us,63,14,124
long,62,32,115
people,61,13,50
 ,61.0,0.0,40.0
too,60,26,142
very,60,144,488
where,60,15,90
want,59,9,44
're,58.0,38.0,0.0
voice,58,47,21
again,56,82,176
their,55,52,440
first,55,49,146
knew,54,15,57
saw,52,14,102
face,52,14,27
only,51,49,217
look,51,29,56
are,50,53,341
right,50,32,43
began,50,58,56
took,48,24,53
girl,48,4,38
',48,50,54
thought,47,74,111
toward,47.0,0.0,0.0
while,47,24,76
half,47,23,70
sport,47.0,0.0,4.0
white,46,30,3
because,45,15,62
last,45,33,118
off,45,73,61
told,44,6,70
young,44,5,129
day,44,29,145
men,43,1,34
asked,43,17,40
even,43,18,82
heard,43,30,86
afternoon,42.0,0.0,3.0
light,42.0,0.0,17.0
name,41,10,33
until,41,5,1
how,41,64,231
left,40,14,65
baker,40.0,0.0,0.0
head,40,49,33
hour,40,2,38
suddenly,40,13,16
seemed,39,27,66
its,39,57,104
oh,39,38,93
three,38,28,61
miss,38,4,283
let,38,22,75
hands,38,12,7
once,37,32,58
years,37,1,36
say,37,50,158
west,37.0,0.0,1.0
why,37,39,54
found,36,32,66
thing,36,49,27
much,36,51,328
another,36,22,57
five,36,8,33
looking,35,32,33
next,35,30,72
tell,35,31,70
than,34,24,282
minute,34,21,9
egg,34.0,1.0,0.0
though,34,11,226
ca,34,28,2
world,33,7,66
always,33,12,120
nothing,33,34,177
small,33,10,23
upon,33,26,70
each,33,8,64
can,32,35,322
must,32,44,308
under,32,16,33
against,32,9,52
sat,32,17,38
alone,31,4,30
own,31,10,188
along,31,5,10
front,31,2,5
cried,31,20,91
seen,31,14,76
table,31,18,35
mrs,31.0,0.0,343.0
