unigram,gatsby,alice,austen
the,0.047731597396094005,0.059776250365603,0.035017977618874
and,0.03064596895343,0.031076338110558002,0.028974265745566004
a,0.027981972959439,0.022959929804036,0.015771825637296
i,0.027581372058087004,0.019486692015209,0.016741405082212002
to,0.022593890836254002,0.026506288388417003,0.033660566395992006
of,0.022313470205307002,0.018682363264112,0.029273219407748
he,0.016725087631447002,0.00457004972214,0.010794651153395
was,0.016084126189283,0.013454226381983,0.014931523451702
in,0.016064096144216,0.013417665984205001,0.015149678826808002
that,0.012518778167250002,0.011333723310909,0.012838847816426
it,0.011657486229344,0.021497513892951,0.012394457237506
you,0.010335503254882,0.014806961099736001,0.010996646871086
his,0.009814722083124,0.0035097981866040002,0.010269462287399
's,0.009394091136705,0.0072389587598710005,0.005219569345129
with,0.008372558838257,0.006617431997660001,0.008483820143012001
she,0.008112168252378,0.020071658379643,0.013808427261342002
n't,0.008112168252378,0.007897045919859,9.695794449157679e-05
at,0.008112168252378,0.007641123135419,0.006334585706783
had,0.008052078117175001,0.006800233986545,0.009477639074051001
her,0.007851777666499,0.009066978648727,0.017969539045772
on,0.007190786179268001,0.007056156770985001,0.005809396840786
me,0.006529794692038001,0.002486107048844,0.0036359229184340005
for,0.006169253880821001,0.005593740859900001,0.008580778087504001
him,0.005468202303455001,0.0014989763088620002,0.00617298913263
as,0.005348022033049,0.009578824217607002,0.009574597018543001
gatsby,0.005127691537305,0.0,0.0
-,0.004947421131697,0.005191576484352,0.002545146042903
my,0.004847270906359001,0.002120503071073,0.005833636326909
but,0.004787180771156,0.005995905235448001,0.008104068193754001
we,0.004667000500751001,0.0012064931266450001,0.002052276491738
said,0.004667000500751001,0.016890903773033,0.0030541752514840004
from,0.004646970455683,0.0013161743199760002,0.003999515210277
all,0.0043465197796690004,0.006544311202105001,0.005057972770977
out,0.004246369554331,0.004277566539923,0.001026138245869
there,0.004246369554331,0.0036194793799350002,0.002852179533793
up,0.003825738607911,0.003656039777712,0.000864541671716
tom,0.0037856785177760002,0.0,0.0
an,0.0037255883825730004,0.002083942673296,0.002924897992162
daisy,0.003645468202303,3.6560397777127814e-05,0.0
do,0.003625438157235,0.005118455688797,0.00282794004767
were,0.003605408112168,0.003144194208832,0.004565103219811
into,0.0033650475713570003,0.002449546651067,0.001139255847776
this,0.0033249874812210003,0.004899093302135,0.0036116834323110004
they,0.0033049574361540004,0.0054474992687920006,0.004855977053286001
have,0.00300450676014,0.0032173150043870004,0.006835535086656
about,0.002984476715072,0.00343667739105,0.000993818931038
one,0.002964446670005,0.0037291605732670003,0.002189633579768
what,0.0028843264897340003,0.005155016086575001,0.0039025572657850004
if,0.0028642964446670004,0.00343667739105,0.002819860218963
over,0.0028642964446670004,0.001462415911085,0.000735264412394
when,0.0028642964446670004,0.0028882714243930003,0.0029976164505310003
then,0.002744116174261,0.003290435799941,0.0014058901951270002
so,0.002724086129193,0.005520620064346,0.0048074980810400006
did,0.0026840260390580003,0.0027785902310610002,0.002205793237183
be,0.0024636955433140002,0.0053378180754600005,0.010002827940047001
by,0.0024436654982470003,0.002083942673296,0.005122611400638
like,0.0024236354531790003,0.0031076338110550003,0.0006221468104870001
is,0.002363545317976,0.003985083357706001,0.0069244132024400004
down,0.002363545317976,0.0036926001754890004,0.0006221468104870001
who,0.002283425137706,0.0022667446621810004,0.002294671352967
man,0.0022433650475710003,0.00018280198888500002,0.0012119743061440001
back,0.002183274912368,0.0014258555133070002,0.000331272977012
came,0.0021632448673,0.001462415911085,0.0007271845836860001
been,0.002143214822233,0.00138929511553,0.0041611117844300004
some,0.002063094641962,0.0018645802866330001,0.0016886841998940002
little,0.002063094641962,0.004679730915472,0.0015270876257420002
no,0.0020230345518270003,0.00318075460661,0.003967195895447
just,0.0020030045067600004,0.0018645802866330001,0.000581747666949
or,0.0019429143715570002,0.0027785902310610002,0.0024077889548740003
now,0.0019429143715570002,0.002083942673296,0.00170484385731
know,0.0019429143715570002,0.0031076338110550003,0.0019310790611230001
'd,0.0019429143715570002,0.0010236911377590001,0.0
house,0.0018627941912860001,0.0006580871599880001,0.000864541671716
went,0.0018227341011510002,0.003034513015501,0.0005413485234110001
could,0.0017826740110160001,0.003144194208832,0.0042338302427980005
after,0.0017626439659480001,0.001572097104416,0.0016159657415260001
eyes,0.0017426139208810002,0.000987130739982,0.000420151092796
before,0.0017426139208810002,0.001352734717753,0.001834121116632
got,0.001702553830746,0.00164521789997,0.00020199571769000002
come,0.001682523785678,0.00164521789997,0.0007595038985170001
mr,0.001682523785678,0.0,0.00631034622066
old,0.00166249374061,0.000694647557765,0.000105037773199
looked,0.0016424636955430002,0.00164521789997,0.0006059871530720001
